Index,State,FIPS_code,Bioguide_Id,First_Name,Last_Name,Party,Role,Position,TeenBirths,Teen_zscore,Medicaid_Enrollment,Medc_zscore
TN - A000360,TN,04000US47,A000360,Lamar,Alexander,Republican,sen,U,30.5,1.091164696,1534091,0.008597686
MO - B000575,MO,04000US29,B000575,Roy,Blunt,Republican,sen,U,25,0.33240298,978080,-0.265094142
OH - B000944,OH,04000US39,B000944,Sherrod,Brown,Democrat,sen,N,23.2,0.084080963,2802733,0.633076245
NC - B001135,NC,04000US37,B001135,Richard,Burr,Republican,sen,U,23.6,0.139263634,2033060,0.25421106
WI - B001230,WI,04000US55,B001230,Tammy,Baldwin,Democrat,sen,N,16.2,-0.881615766,1041182,-0.234032703
AR - B001236,AR,04000US05,B001236,John,Boozman,Republican,sen,U,38,2.125839763,921347,-0.293020493
WY - B001261,WY,04000US56,B001261,John,Barrasso,Republican,sen,U,29.2,0.911821017,61651,-0.716198757
CO - B001267,CO,04000US08,B001267,Michael,Bennet,Democrat,sen,N,19.3,-0.453950072,1381578,-0.06647558
CT - B001277,CT,04000US09,B001277,Richard,Blumenthal,Democrat,sen,N,10.1,-1.723151488,756600,-0.374115845
NJ - B001288,NJ,04000US34,B001288,Cory,Booker,Democrat,sen,N,12.1,-1.447238136,1772154,0.125782234
WA - C000127,WA,04000US53,C000127,Maria,Cantwell,Democrat,sen,N,17.6,-0.68847642,1807149,0.143008234
MD - C000141,MD,04000US24,C000141,Benjamin,Cardin,Democrat,sen,N,17,-0.771250426,1292786,-0.11018271
DE - C000174,DE,04000US10,C000174,Thomas,Carper,Democrat,sen,N,18.1,-0.619498082,243004,-0.626929239
MS - C000567,MS,04000US28,C000567,Thad,Cochran,Republican,sen,U,34.8,1.684378401,675158,-0.414204998
ID - C000880,ID,04000US16,C000880,Michael,Crapo,Republican,sen,U,22.5,-0.01248871,295487,-0.601094915
ME - C001035,ME,04000US23,C001035,Susan,Collins,Republican,sen,N,15.4,-0.991981107,266076,-0.615572237
WV - C001047,WV,04000US54,C001047,Shelley,Capito,Republican,sen,U,31.9,1.284304041,562183,-0.469816009
TX - C001056,TX,04000US48,C001056,John,Cornyn,Republican,sen,Y,34.6,1.656787066,4747287,1.590266911
PA - C001070,PA,04000US42,C001070,Robert,Casey,Democrat,sen,N,17.7,-0.674680753,2922313,0.691938514
